001  00001 |Loss: 2.381 | Acc: 14.062% 
001  00002 |Loss: 3.067 | Acc: 16.016% 
001  00003 |Loss: 3.901 | Acc: 13.281% 
001  00004 |Loss: 4.486 | Acc: 12.695% 
001  00005 |Loss: 5.221 | Acc: 13.594% 
001  00006 |Loss: 5.910 | Acc: 13.672% 
001  00007 |Loss: 5.954 | Acc: 13.504% 
001  00008 |Loss: 6.050 | Acc: 13.477% 
001  00009 |Loss: 5.745 | Acc: 12.847% 
001  00010 |Loss: 5.738 | Acc: 12.734% 
001  00011 |Loss: 5.544 | Acc: 12.358% 
001  00012 |Loss: 5.428 | Acc: 11.849% 
001  00013 |Loss: 5.444 | Acc: 11.659% 
001  00014 |Loss: 5.416 | Acc: 11.607% 
001  00015 |Loss: 5.232 | Acc: 11.719% 
001  00016 |Loss: 5.135 | Acc: 11.621% 
001  00017 |Loss: 4.996 | Acc: 11.765% 
001  00018 |Loss: 4.888 | Acc: 11.762% 
001  00019 |Loss: 4.769 | Acc: 11.513% 
001  00020 |Loss: 4.677 | Acc: 11.250% 
001  00021 |Loss: 4.578 | Acc: 11.384% 
001  00022 |Loss: 4.481 | Acc: 11.683% 
001  00023 |Loss: 4.406 | Acc: 11.379% 
001  00024 |Loss: 4.319 | Acc: 11.589% 
001  00025 |Loss: 4.242 | Acc: 11.438% 
001  00026 |Loss: 4.182 | Acc: 11.538% 
001  00027 |Loss: 4.110 | Acc: 11.748% 
001  00028 |Loss: 4.048 | Acc: 11.802% 
001  00029 |Loss: 3.996 | Acc: 11.665% 
001  00030 |Loss: 3.944 | Acc: 11.615% 
001  00031 |Loss: 3.912 | Acc: 11.668% 
001  00032 |Loss: 3.871 | Acc: 11.621% 
001  00033 |Loss: 3.838 | Acc: 11.458% 
001  00034 |Loss: 3.796 | Acc: 11.328% 
001  00035 |Loss: 3.758 | Acc: 11.295% 
001  00036 |Loss: 3.719 | Acc: 11.372% 
001  00037 |Loss: 3.683 | Acc: 11.381% 
001  00038 |Loss: 3.650 | Acc: 11.390% 
001  00039 |Loss: 3.616 | Acc: 11.398% 
001  00040 |Loss: 3.585 | Acc: 11.445% 
001  00041 |Loss: 3.553 | Acc: 11.566% 
001  00042 |Loss: 3.524 | Acc: 11.607% 
001  00043 |Loss: 3.494 | Acc: 11.719% 
001  00044 |Loss: 3.468 | Acc: 11.648% 
001  00045 |Loss: 3.444 | Acc: 11.701% 
001  00046 |Loss: 3.419 | Acc: 11.719% 
001  00047 |Loss: 3.396 | Acc: 11.735% 
001  00048 |Loss: 3.375 | Acc: 11.719% 
001  00049 |Loss: 3.354 | Acc: 11.735% 
001  00050 |Loss: 3.335 | Acc: 11.719% 
001  00051 |Loss: 3.317 | Acc: 11.673% 
001  00052 |Loss: 3.298 | Acc: 11.749% 
001  00053 |Loss: 3.279 | Acc: 11.689% 
001  00054 |Loss: 3.261 | Acc: 11.675% 
001  00055 |Loss: 3.244 | Acc: 11.634% 
001  00056 |Loss: 3.227 | Acc: 11.565% 
001  00057 |Loss: 3.212 | Acc: 11.513% 
001  00058 |Loss: 3.195 | Acc: 11.490% 
001  00059 |Loss: 3.179 | Acc: 11.520% 
001  00060 |Loss: 3.164 | Acc: 11.576% 
001  00061 |Loss: 3.149 | Acc: 11.527% 
001  00062 |Loss: 3.135 | Acc: 11.643% 
001  00063 |Loss: 3.121 | Acc: 11.682% 
001  00064 |Loss: 3.108 | Acc: 11.658% 
001  00065 |Loss: 3.096 | Acc: 11.755% 
001  00066 |Loss: 3.085 | Acc: 11.754% 
001  00067 |Loss: 3.073 | Acc: 11.847% 
001  00068 |Loss: 3.061 | Acc: 11.880% 
001  00069 |Loss: 3.049 | Acc: 11.832% 
001  00070 |Loss: 3.038 | Acc: 11.842% 
001  00071 |Loss: 3.027 | Acc: 11.829% 
001  00072 |Loss: 3.016 | Acc: 11.816% 
001  00073 |Loss: 3.005 | Acc: 11.879% 
